CompanyID,CompanyName,Industry,Country,YearsOperating,Employees,MonthlyRevenue,MonthlyExpenses,MarketingBudget,NewCustomers,RepeatCustomers,CustomerSatisfaction,EmployeeTurnover,ProductInnovation,MarketShare,RevenueGrowth,ProfitMargin
BG-00062,Nova Oratek Works,Education,Canada,35,229,172595.73,141489.74,15709.0,27,52,7.94,1.0,6.66,1.57,8.71,18.02
BG-00063,Blue Tekmar Dynamics,Energy,Brazil,41,198,2905715.55,2033498.82,331845.57,842,1343,6.99,10.79,4.46,7.23,6.52,30.02
BG-00064,Blue Soltek Holdings,Hospitality,United States,16,183,192401.87,168450.39,10561.82,25,38,5.78,30.66,5.76,1.94,17.88,12.45
BG-00065,Bright Zenzen Holdings,Retail,United Kingdom,44,358,193500.46,142522.55,10218.77,23,46,6.89,24.12,6.42,9.91,7.98,26.35
BG-00066,Bright Tekmar Works,Hospitality,United Kingdom,20,140,261825.3,214767.28,6929.33,23,77,7.58,20.59,6.93,10.01,15.07,17.97
BG-00067,Blue Teksol Systems,Education,Germany,39,82,234398.16,180624.59,30188.34,81,62,7.24,1.92,6.24,8.27,9.72,22.94
BG-00068,Apex Fintek Labs,Finance,United States,13,224,297765.57,190532.64,27179.57,56,124,6.45,18.84,7.54,15.08,27.03,36.01
BG-00069,Prime Viatek Works,Technology,Nigeria,14,237,157736.84,104364.03,17402.12,11,73,7.95,16.47,8.14,10.67,46.82,33.84
BG-00070,Blue Finsol Labs,Energy,Brazil,38,172,516489.95,311713.76,59235.64,42,96,5.99,9.62,4.19,3.54,1.32,39.65
BG-00071,Blue Viasol Labs,Retail,Canada,13,332,216763.95,177515.26,10584.37,15,24,5.46,25.92,5.17,5.54,4.92,18.11
BG-00072,Summit Viafin Works,Education,Australia,44,311,481368.87,377638.74,65987.49,132,264,8.2,18.12,4.88,21.37,24.05,21.55
BG-00073,Bright Corora Works,Technology,France,11,130,168689.22,111058.35,5564.82,18,28,8.15,8.07,8.54,11.91,30.99,34.16
BG-00074,Bright Solfin Ventures,Manufacturing,Canada,33,1818,454142.13,335179.31,55677.88,35,73,8.28,15.01,7.45,11.95,38.8,26.2
BG-00075,Prime Viavia Systems,Healthcare,Germany,14,40,218081.01,157303.47,6512.73,97,335,9.13,13.1,7.66,11.36,24.46,27.87
BG-00076,Blue Orafin Dynamics,Technology,United Kingdom,17,573,63694.02,35185.11,2713.35,6,8,6.81,8.83,10.0,31.93,12.92,44.76
BG-00077,Nova Zenfin Dynamics,Manufacturing,France,28,172,458796.53,282610.16,39067.85,87,204,5.58,21.13,4.94,23.88,14.84,38.4
BG-00078,Nova Lummed Group,Technology,India,12,276,360143.94,294547.36,26834.85,34,99,9.76,6.63,6.89,34.72,37.58,18.21
BG-00079,Nova Corlum Systems,Finance,Germany,4,85,266822.96,153660.59,5845.77,53,141,6.91,11.88,5.84,0.44,3.25,42.41
BG-00080,Prime Zentek Group,Education,France,6,339,142439.54,121949.71,11503.07,7,27,8.33,11.54,6.87,21.57,19.11,14.38
BG-00081,Blue Solora Labs,Hospitality,South Africa,36,102,166032.53,144672.17,6500.35,108,126,8.88,24.81,6.45,19.22,-3.92,12.87
BG-00082,Nova Martek Labs,Retail,France,18,615,757360.39,536421.71,73724.62,74,267,6.96,32.44,4.92,17.23,13.21,29.17
BG-00083,Vertex Oraora Systems,Retail,Australia,24,132,398937.94,334518.41,39342.64,389,546,7.37,18.26,5.53,6.18,29.75,16.15
BG-00084,Apex Finmar Works,Real Estate,Brazil,12,19,79971.3,58509.04,1254.28,4,16,9.3,16.95,6.0,14.66,28.46,26.84
BG-00085,Blue Fincor Ventures,Finance,United States,4,84,185702.56,102715.5,23169.82,4,88,8.15,11.49,3.72,11.04,0.44,44.69
BG-00086,Bright Finzen Holdings,Hospitality,Germany,43,396,98092.34,84001.95,5196.4,7,20,5.71,35.14,4.29,11.1,18.9,14.36
BG-00087,Bright Zentek Ventures,Education,Australia,43,28,134207.59,108276.35,7786.41,82,160,8.01,26.16,6.76,18.08,22.67,19.32
BG-00088,Bright Fintek Ventures,Finance,South Africa,23,215,298034.18,163049.81,40186.46,165,644,7.29,11.48,7.37,2.67,26.63,45.29
BG-00089,Vertex Finvia Ventures,Healthcare,Germany,32,143,240925.98,167959.95,17015.88,61,422,7.72,14.26,5.15,19.67,27.96,30.29
BG-00090,Vertex Solcor Group,Real Estate,France,24,171,108667.34,71482.81,12439.54,14,34,8.77,19.36,2.36,14.36,25.48,34.22
BG-00091,Vertex Marmar Holdings,Finance,Germany,32,197,222600.15,129003.0,20374.06,198,186,9.26,16.62,6.48,12.34,18.78,42.05
BG-00092,Vertex Medlum Ventures,Education,India,4,72,95273.93,76459.26,12295.68,12,32,7.18,28.38,4.32,28.51,23.76,19.75
BG-00093,Blue Zentek Ventures,Energy,United Kingdom,28,306,459126.19,312735.28,17378.43,96,157,7.92,16.53,6.89,22.64,-3.93,31.88
BG-00094,Apex Lumtek Works,Real Estate,Nigeria,42,148,340242.34,211086.73,47413.4,65,89,7.66,3.66,7.53,5.69,16.03,37.96
BG-00095,Apex Corlum Systems,Manufacturing,United Kingdom,13,305,716707.93,537910.68,80787.05,107,430,6.99,26.71,6.33,24.83,26.51,24.95
BG-00096,Vertex Finmar Works,Real Estate,Canada,21,125,138027.06,74200.14,5788.43,13,39,7.29,1.0,5.57,14.79,35.9,46.24
BG-00097,Vertex Lumvia Holdings,Logistics,India,18,533,323171.47,268133.73,33454.61,133,146,7.13,20.07,4.96,14.66,1.8,17.03
BG-00098,Prime Finlum Works,Technology,Canada,13,215,168963.14,125721.75,12001.47,11,46,8.13,12.73,8.6,0.54,35.14,25.59
BG-00099,Apex Sollum Dynamics,Hospitality,India,1,428,36384.57,24326.38,4016.65,3,5,5.27,20.39,1.9,10.46,16.45,33.14
BG-00100,Nova Medsol Ventures,Retail,India,20,233,48970.81,40917.82,3228.17,7,8,9.01,16.24,6.4,22.03,17.55,16.44
BG-00101,Prime Medmar Dynamics,Real Estate,Nigeria,37,99,95267.73,55989.64,4957.49,14,57,6.72,9.81,4.15,5.41,10.27,41.23
BG-00102,Prime Solmed Works,Hospitality,South Africa,27,143,180763.21,134941.23,21114.81,36,72,7.36,32.38,3.3,10.42,-10.49,25.35
BG-00103,Bright Lumtek Dynamics,Energy,India,38,306,1168914.02,585302.3,23180.19,312,888,6.4,10.28,4.15,0.75,-7.93,49.93
BG-00104,Blue Lumtek Systems,Hospitality,India,10,60,142860.19,107764.88,19696.62,25,56,8.78,21.59,5.13,30.76,28.34,24.57
BG-00105,Nova Tekora Group,Retail,France,11,319,206227.76,153734.12,9951.29,45,111,6.32,25.19,9.0,2.07,21.87,25.45
BG-00106,Nova Vialum Systems,Hospitality,Canada,13,382,393025.56,329087.34,47703.34,50,85,8.28,20.68,4.2,11.53,-11.5,16.27
BG-00107,Apex Finfin Group,Healthcare,Germany,43,222,281296.23,165289.56,33070.1,22,73,6.61,12.32,6.36,26.38,34.6,41.24
BG-00108,Vertex Corlum Dynamics,Hospitality,India,20,316,121878.21,97346.54,4700.39,4,30,7.33,42.32,3.88,7.66,10.78,20.13
BG-00109,Prime Marcor Dynamics,Logistics,South Africa,28,419,175604.52,139071.96,24145.15,16,30,5.18,24.93,6.14,9.39,9.01,20.8
BG-00110,Vertex Corora Group,Real Estate,South Africa,39,345,224217.64,160902.89,27609.61,172,528,6.77,2.56,4.14,6.5,40.54,28.24
BG-00111,Summit Solmar Works,Logistics,South Africa,36,392,127266.07,96161.47,12019.65,13,43,6.35,20.56,6.93,18.86,16.85,24.44
BG-00112,Bright Finmed Labs,Energy,Germany,11,126,594185.91,384716.82,33583.61,108,592,5.7,7.02,8.41,27.41,17.4,35.25
BG-00113,Blue Finvia Dynamics,Logistics,Nigeria,2,305,289779.51,226232.67,30164.23,56,61,6.61,14.08,5.83,7.19,24.33,21.93
BG-00114,Summit Solcor Systems,Energy,United Kingdom,28,154,350547.93,255284.33,18739.66,70,183,6.44,7.61,7.42,10.02,16.13,27.18
BG-00115,Blue Corzen Holdings,Real Estate,Australia,15,62,225807.49,127548.73,15999.56,21,105,6.38,28.86,5.26,7.75,17.46,43.51
BG-00116,Prime Medvia Labs,Logistics,United Kingdom,31,105,347319.42,242801.01,37228.96,202,138,5.82,23.13,7.16,20.4,-1.77,30.09
BG-00117,Bright Lummed Group,Finance,South Africa,26,187,353071.75,167110.78,6714.94,40,83,6.96,12.76,7.23,8.6,26.14,52.67
BG-00118,Bright Fintek Dynamics,Education,South Africa,1,109,151716.68,125388.69,21218.12,43,93,7.77,12.23,7.0,21.23,27.0,17.35
BG-00119,Apex Solcor Group,Retail,India,15,467,125526.0,105522.36,8783.82,6,19,7.75,22.34,4.16,14.49,9.96,15.94
BG-00120,Prime Corcor Works,Manufacturing,Canada,9,1417,248818.96,175950.12,7689.31,37,110,4.86,16.2,4.56,9.84,5.39,29.29
BG-00121,Summit Vialum Works,Manufacturing,United States,31,604,290991.61,216736.76,35238.8,54,281,5.82,24.48,7.13,14.41,10.62,25.52
BG-00122,Summit Lummed Holdings,Energy,Canada,3,365,1039188.6,674887.95,109740.5,77,133,7.83,21.85,7.81,1.41,18.67,35.06
BG-00123,Nova Marmar Holdings,Finance,Nigeria,15,186,199252.91,131101.87,23176.1,26,35,6.26,1.0,6.38,6.14,5.11,34.2
BG-00124,Bright Zenmar Labs,Retail,United Kingdom,20,168,542247.82,452378.01,9344.35,25,98,7.15,19.18,6.02,4.94,30.48,16.57
BG-00125,Blue Finfin Holdings,Finance,Australia,42,87,954565.01,583663.23,102588.3,706,554,8.53,12.67,5.27,5.51,-2.56,38.86
BG-00126,Summit Lumzen Holdings,Manufacturing,Canada,28,286,255917.59,224290.24,10724.35,20,32,6.22,11.19,4.37,21.78,-11.67,12.36
BG-00127,Prime Zenmar Dynamics,Finance,Australia,30,68,230173.34,188762.09,25139.84,20,95,7.62,6.85,7.79,4.3,14.51,17.99
BG-00128,Summit Finora Labs,Technology,Nigeria,30,130,335340.74,205867.39,7015.85,71,149,8.6,12.58,7.63,17.25,10.14,38.61
BG-00129,Apex Finmed Labs,Hospitality,Nigeria,19,764,234802.82,196144.01,27304.71,37,73,6.91,29.19,4.28,5.03,11.25,16.46
BG-00130,Blue Medvia Systems,Logistics,Nigeria,1,750,316760.34,264583.88,35934.7,28,132,6.35,15.0,6.22,10.11,3.46,16.47
BG-00131,Blue Tekmar Dynamics,Healthcare,Brazil,5,376,126955.7,111714.22,9440.38,52,115,7.44,15.49,7.07,10.92,5.58,12.01
BG-00132,Vertex Finmar Group,Hospitality,India,38,57,248665.78,145675.89,15849.01,45,63,7.86,25.62,5.34,14.21,15.07,41.42
BG-00133,Prime Zentek Systems,Education,Germany,23,192,619912.52,416141.36,37295.4,63,137,7.7,8.26,7.12,1.72,18.59,32.87
BG-00134,Summit Marfin Group,Manufacturing,India,16,662,337849.29,201723.32,35067.03,17,115,7.17,18.28,5.53,9.88,10.88,40.29
BG-00135,Prime Oravia Systems,Technology,India,12,49,90824.85,59622.83,1734.87,11,46,7.85,1.06,6.9,19.83,42.93,34.35
BG-00136,Prime Tekora Group,Manufacturing,Nigeria,2,780,455219.8,326794.16,24728.77,44,114,7.03,20.91,6.01,22.41,32.58,28.21
BG-00137,Summit Corsol Works,Real Estate,France,20,28,212062.3,154692.81,23596.89,27,30,6.5,13.27,6.27,14.84,12.93,27.05
BG-00138,Blue Finmed Ventures,Retail,Germany,34,285,263195.04,210387.28,17962.11,52,92,7.07,21.83,5.73,31.62,16.71,20.06
BG-00139,Blue Medmed Dynamics,Manufacturing,India,30,292,623476.85,429019.09,20426.97,103,205,8.16,15.43,5.5,45.0,2.85,31.19
BG-00140,Bright Lumfin Holdings,Technology,Canada,43,363,304588.52,210611.58,14413.02,22,51,8.02,17.61,8.4,6.89,22.49,30.85
BG-00141,Blue Marora Systems,Manufacturing,France,32,660,1297394.73,1059981.8,169043.66,1269,782,6.16,12.3,4.88,6.01,11.54,18.3
BG-00142,Bright Finsol Group,Hospitality,Brazil,44,301,238183.42,208236.77,23036.22,48,49,6.2,17.56,5.22,6.22,18.35,12.57
BG-00143,Bright Tektek Works,Education,India,37,47,151388.42,114384.65,5998.0,35,77,6.79,11.76,5.99,9.11,9.29,24.44
BG-00144,Bright Zensol Dynamics,Retail,Germany,3,392,383898.58,284438.89,39268.91,39,98,6.13,22.08,5.51,15.63,4.94,25.91
BG-00145,Nova Medtek Holdings,Healthcare,Germany,20,112,143667.41,106470.03,12143.31,67,98,8.59,5.53,4.96,33.93,17.41,25.89
BG-00146,Summit Tekzen Dynamics,Real Estate,Brazil,34,56,288159.69,222068.48,29831.17,42,86,6.68,2.51,4.91,14.19,21.59,22.94
BG-00147,Nova Oravia Group,Manufacturing,France,11,971,201422.92,159099.86,13876.8,27,17,6.12,16.83,5.67,13.28,-9.71,21.01
BG-00148,Nova Tekcor Labs,Technology,Brazil,22,111,547039.4,318300.21,35781.41,302,84,6.52,25.32,7.34,1.16,33.53,41.81
BG-00149,Blue Viamed Labs,Hospitality,France,33,272,274612.48,281469.21,23607.94,181,489,8.4,25.44,6.6,23.8,10.93,-2.5
BG-00150,Bright Medmed Systems,Technology,Australia,19,108,205352.73,88580.79,17153.97,26,116,7.81,21.75,8.31,13.76,39.39,56.86
BG-00151,Apex Tekmed Labs,Education,United Kingdom,41,86,199533.36,187779.8,15998.67,41,89,7.61,1.0,6.82,0.7,6.43,5.89
BG-00152,Vertex Zenmar Holdings,Retail,South Africa,31,72,295246.47,229399.33,6172.51,52,79,8.05,27.06,7.28,10.16,7.96,22.3
BG-00153,Nova Martek Labs,Technology,United Kingdom,43,91,1234926.41,923047.14,110594.62,108,271,6.61,1.0,8.18,9.57,20.0,25.25
BG-00154,Summit Finmar Ventures,Manufacturing,Canada,12,299,700991.28,692489.25,19915.78,155,311,7.69,9.4,5.61,11.26,19.97,1.21
BG-00155,Prime Solfin Systems,Real Estate,Germany,3,125,339412.5,215651.38,35568.33,33,111,6.69,2.35,6.6,34.79,-3.03,36.46
BG-00156,Prime Marfin Group,Energy,France,31,388,277729.29,165419.58,5869.6,35,123,6.65,16.88,6.44,5.33,-6.24,40.44
BG-00157,Apex Marzen Dynamics,Real Estate,Australia,5,89,61135.83,37402.02,1607.93,3,9,8.41,20.14,4.91,13.3,11.85,38.82
BG-00158,Bright Zenvia Works,Manufacturing,Germany,13,1506,352639.81,271209.74,13798.14,49,143,8.72,6.87,7.13,4.79,6.19,23.09
BG-00159,Apex Viacor Systems,Healthcare,Brazil,9,516,297359.72,215975.39,23868.37,45,106,10.0,9.74,5.95,20.8,28.39,27.37
BG-00160,Vertex Tekcor Works,Energy,Australia,18,147,397161.99,281215.85,28923.32,24,66,5.84,3.12,5.91,4.62,27.54,29.19
BG-00161,Blue Medzen Holdings,Finance,France,36,150,313085.09,188166.98,40444.08,17,58,5.37,14.27,7.61,11.46,19.17,39.9
BG-00162,Prime Marlum Systems,Manufacturing,France,17,370,448766.67,345388.54,31244.78,85,244,6.2,20.6,4.99,22.27,4.59,23.04
BG-00163,Nova Viatek Dynamics,Retail,Brazil,25,432,292636.12,254821.72,5523.32,42,109,7.36,27.43,5.13,6.42,16.11,12.92
BG-00164,Apex Viatek Ventures,Healthcare,Canada,31,134,330458.77,280638.62,27477.85,34,129,7.89,1.2,8.77,19.05,18.93,15.08
BG-00165,Vertex Zenmed Holdings,Real Estate,France,9,192,435178.44,292917.02,42025.58,125,310,5.68,15.69,6.56,16.72,15.25,32.69
BG-00166,Bright Solsol Systems,Finance,South Africa,20,98,350137.61,287763.24,15430.23,16,83,6.97,1.0,7.17,6.65,38.18,17.81
BG-00167,Summit Corfin Holdings,Energy,Canada,41,310,1463172.33,1245766.17,192375.02,188,463,5.29,13.82,8.83,16.24,21.52,14.86
BG-00168,Bright Corzen Works,Education,Australia,40,54,71479.69,61041.32,8425.1,27,47,7.94,17.76,7.39,10.95,8.73,14.6
BG-00169,Apex Tekmar Labs,Real Estate,Australia,3,181,618311.76,318593.34,44276.54,52,50,8.34,8.74,7.49,7.77,8.41,48.47
BG-00170,Summit Medtek Works,Healthcare,India,44,187,609491.08,365829.38,44742.24,54,142,6.24,7.93,6.49,13.71,11.03,39.98
BG-00171,Blue Medzen Systems,Real Estate,South Africa,26,145,239421.64,154675.48,25713.06,44,139,7.39,6.08,5.73,8.29,13.29,35.4
BG-00172,Bright Orazen Dynamics,Education,South Africa,38,193,94950.28,75293.45,6027.73,5,27,7.44,24.84,5.58,18.01,16.56,20.7
BG-00173,Vertex Medtek Holdings,Healthcare,Nigeria,2,109,322697.37,215325.42,5330.19,37,104,7.09,7.8,6.08,2.64,16.0,33.27
BG-00174,Apex Medzen Group,Logistics,Brazil,38,324,181351.5,156360.47,10293.83,47,89,7.17,28.39,6.31,1.18,29.73,13.78
BG-00175,Apex Finsol Dynamics,Finance,Nigeria,21,41,491824.27,237018.53,9402.21,47,192,6.37,12.62,6.26,22.48,22.61,51.81
BG-00176,Vertex Fincor Works,Technology,Brazil,35,78,761395.16,441545.25,18316.79,61,128,8.2,1.0,8.36,8.56,20.24,42.01
BG-00177,Summit Medmed Dynamics,Hospitality,Nigeria,29,212,177406.76,148058.84,5254.51,85,259,5.47,29.08,4.5,8.73,-7.71,16.54
BG-00178,Bright Solvia Group,Technology,Germany,29,60,150775.77,125968.28,13186.56,14,28,7.56,28.75,9.67,6.77,48.14,16.45
BG-00179,Apex Cormar Dynamics,Energy,India,26,727,379876.34,260211.57,47163.54,43,79,5.48,11.68,7.39,3.33,24.73,31.5
BG-00180,Bright Solcor Ventures,Manufacturing,United Kingdom,33,223,145405.32,103526.15,10636.63,30,43,8.65,20.95,6.82,21.54,12.17,28.8
BG-00181,Nova Zenmed Labs,Logistics,Canada,24,529,209431.01,176318.86,14614.05,40,138,7.87,21.31,5.81,13.11,35.25,15.81
BG-00182,Blue Teksol Holdings,Healthcare,India,17,201,181798.24,122447.16,12536.83,13,46,7.84,15.44,5.73,7.3,9.03,32.65
BG-00183,Prime Medmed Works,Finance,South Africa,10,643,105169.24,69942.8,4858.14,34,92,6.98,9.8,6.71,5.89,29.51,33.5
BG-00184,Nova Finlum Ventures,Energy,Brazil,2,80,676162.43,514450.14,19296.67,260,966,9.02,1.01,9.09,3.86,27.13,23.92
BG-00185,Prime Zentek Dynamics,Hospitality,United Kingdom,6,320,193494.47,179499.12,12072.24,28,56,7.93,24.01,3.95,5.7,6.96,7.23
